 # Once                                                             FEFF 9.9.1
 # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.631 Rnm= 1.711 L3 shell
 # Pot 1 Z=92 Rmt= 1.636 Rnm= 1.717
 # Pot 2 Z= 8 Rmt= 1.044 Rnm= 1.096
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-8.539E+00eV kf=2.111E+00 Vint=-1.836E+01eV Rs_int= 1.718
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   11      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.8179    2.5893   -8.53908 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
     1.3671   -1.3671    4.1011  2   8 O     
     1.3671   -1.3671    1.3671  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  7.500  1.2708E+01  5.7998E-03 -3.3817E+01  1.054E+00  6.3888E+00  7.5586E+00
  8.000  1.2429E+01  7.0447E-03 -3.4362E+01  1.034E+00  6.8958E+00  8.0491E+00
  8.500  1.2164E+01  7.6524E-03 -3.4753E+01  1.018E+00  7.4178E+00  8.5415E+00
  9.000  1.1910E+01  7.6891E-03 -3.5077E+01  1.007E+00  7.9535E+00  9.0352E+00
  9.500  1.1663E+01  7.4019E-03 -3.5360E+01  9.959E-01  8.5016E+00  9.5299E+00
 10.000  1.1423E+01  6.9860E-03 -3.5613E+01  9.848E-01  9.0611E+00  1.0026E+01
 11.000  1.0966E+01  6.0172E-03 -3.6059E+01  9.663E-01  1.0211E+01  1.1019E+01
 12.000  1.0535E+01  4.8667E-03 -3.6460E+01  9.541E-01  1.1399E+01  1.2014E+01
 13.000  1.0131E+01  3.6908E-03 -3.6820E+01  9.446E-01  1.2619E+01  1.3010E+01
 14.000  9.7518E+00  2.7451E-03 -3.7110E+01  9.394E-01  1.3869E+01  1.4008E+01
 15.000  9.3953E+00  2.0929E-03 -3.7302E+01  9.355E-01  1.5146E+01  1.5005E+01
 16.000  9.0608E+00  1.7091E-03 -3.7427E+01  9.335E-01  1.6447E+01  1.6004E+01
 17.000  8.7445E+00  1.5520E-03 -3.7565E+01  9.322E-01  1.7771E+01  1.7003E+01
 18.000  8.4455E+00  1.4585E-03 -3.7755E+01  9.319E-01  1.9115E+01  1.8002E+01
 19.000  8.1633E+00  1.3096E-03 -3.7978E+01  9.320E-01  2.0479E+01  1.9001E+01
 20.000  7.8959E+00  1.1562E-03 -3.8201E+01  9.320E-01  2.1861E+01  2.0000E+01
