 # Once                                                             FEFF 9.9.1
 # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
 # Pot 1 Z=29 Rmt= 1.354 Rnm= 1.391
 # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-8.102E+00eV kf=1.979E+00 Vint=-1.705E+01eV Rs_int= 1.832
 # PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   73      icalc       2
 -----------------------------------------------------------------------
   2  24.000   8.8427    2.6317   -8.10205 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
     3.6100    3.6100    7.2200  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.8196E+00  0.0000E+00 -7.5946E-01  9.613E-01  1.3521E+01  1.5341E+00
  0.100  3.8212E+00  4.8745E-02 -2.4731E+00  9.616E-01  1.3548E+01  1.5372E+00
  0.200  3.8261E+00  9.6512E-02 -4.0780E+00  9.626E-01  1.3629E+01  1.5465E+00
  0.300  3.8339E+00  1.4247E-01 -5.5763E+00  9.643E-01  1.3758E+01  1.5619E+00
  0.400  3.8442E+00  1.8604E-01 -6.9719E+00  9.666E-01  1.3928E+01  1.5833E+00
  0.500  3.8565E+00  2.2691E-01 -8.2691E+00  9.695E-01  1.4129E+01  1.6103E+00
  0.600  3.8700E+00  2.6498E-01 -9.4729E+00  9.729E-01  1.4348E+01  1.6427E+00
  0.700  3.8839E+00  3.0030E-01 -1.0588E+01  9.768E-01  1.4570E+01  1.6803E+00
  0.800  3.8973E+00  3.3294E-01 -1.1621E+01  9.811E-01  1.4779E+01  1.7228E+00
  0.900  3.9094E+00  3.6294E-01 -1.2574E+01  9.859E-01  1.4957E+01  1.7698E+00
